# Description of Fields in this File
# ==================================
#  
# Pathway Name: a user friendly name of the pathway.
# Pathway Frame-id: a unique identifier of the pathway in the PGDB.
# Pathway Class Name: a user friendly name of a class that contains the pathway.
# Pathway Class Frame-id: a unique identifier of the Class Name in the PGDB.
# Pathway Score: A number from 0-1.0 indicating the strength of the evidence supporting the inference of this pathway, where 1.0 means very strong evidence.
# Pathway Frequency Score: the sum of the number of enzymes in the PGDB catalyzing the reactions of the pathway divided by the number of reactions in the pathway. This value can be larger than 1 since there might be several enzymes catalyzing the same reaction.
# Pathway Abundance: the abundance of the pathway given the abundance values of the genes for this pathway in the annotation file.
# Reason to Keep: a keyword describing the reason the pathway was kept.
# Pathway URL: the pathway URL for the Biocyc.org Web site.
#  
# The pathways in this file are sorted by Pathway Score.


Pathway Name | Pathway Frame-id | Pathway Class Name | Pathway Class Frame-id | Pathway Score | Pathway Frequency Score | Pathway Abundance | Reason to Keep | Pathway URL

2-aminoethylphosphonate biosynthesis|PWY-6839|||0.118049264|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6839
xanthine and xanthosine salvage|SALVPURINE2-PWY|||0.16098094|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=SALVPURINE2-PWY
thiamine formation from pyrithiamine and oxythiamine (yeast)|PWY-7357|||0.16798101|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7357
phenylethanol biosynthesis|PWY-5751|||0.16925554|3.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5751
fatty acid beta-oxidation (peroxisome, yeast)|PWY-7288|||0.17740169|5.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7288
L-citrulline degradation|CITRULLINE-DEG-PWY|||0.18069123|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=CITRULLINE-DEG-PWY
4-aminobutanoate degradation III|PWY-6536|4-Aminobutanoate Degradation|4-Aminobutyraye-Degradation|0.18069123|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6536
N10-formyl-tetrahydrofolate biosynthesis|1CMET2-PWY|||0.18517211|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=1CMET2-PWY
pyrimidine deoxyribonucleotide phosphorylation|PWY-7197|||0.19138756|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7197
choline biosynthesis III|PWY-3561|Choline Biosynthesis|Choline-Biosynthesis|0.19491576|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3561
protein ubiquitylation|PWY-7511|||0.19555557|18.777779|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7511
thiamine diphosphate biosynthesis IV (eukaryotes)|PWY-6908|Thiamine Diphosphate Biosynthesis|Thiamin-Diphosphate-Biosynthesis|0.20149505|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6908
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate|PWY-6613|||0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6613
allantoin degradation to ureidoglycolate I (urea producing)|PWY-5697|Allantoin Degradation|Allantoin-degradation|0.21156943|0.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5697
oleate beta-oxidation (thioesterase-dependent, yeast)|PWY-7292|||0.21156943|2.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7292
folate transformations I|PWY-2201|Folate Transformations|Folate-Transformations|0.21376555|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-2201
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)|PWY-7282|4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis|HMP-PP-Biosynthesis|0.2149259|1.5555556|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7282
4-hydroxy-2-nonenal detoxification|PWY-7112|||0.22000001|4.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7112
selenate reduction|PWY-6932|||0.22000001|0.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6932
L-proline biosynthesis III|PWY-3341|L-proline Biosynthesis|PROLINE-SYN|0.23354541|1.2|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3341
L-ornithine biosynthesis II|ARGININE-SYN4-PWY|L-Ornithine Biosynthesis|L-Ornithine-Biosynthesis|0.24699463|1.25|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=ARGININE-SYN4-PWY
D-myo-inositol (1,3,4)-trisphosphate biosynthesis|PWY-6364|||0.2483669|1.3333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6364
docosahexaenoate biosynthesis III (6-desaturase, mammals)|PWY-7606|||0.25142857|1.4285715|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7606
guanosine nucleotides degradation III|PWY-6608|Guanosine Nucleotides Degradation|Guanosine-Nucleotides-Degradation|0.25458574|3.5|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6608
CDP-diacylglycerol biosynthesis I|PWY-5667|CDP-diacylglycerol Biosynthesis|CDP-diacylglycerol-Biosynthesis|0.256906|1.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5667
aflatoxins B2 and G2 biosynthesis|PWY-5960|||0.264|2.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5960
9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)|PWY-7340|||0.264|1.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7340
adenine and adenosine salvage III|PWY-6609|Adenine and Adenosine Salvage|Adenine-Adenosine-Salvage|0.27181762|1.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6609
chlorogenic acid biosynthesis II|PWY-6040|||0.274766|3.0|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6040
S-adenosyl-L-methionine cycle II|PWY-5041|S-adenosyl-L-methionine cycle|S-adenosyl-L-methionine-cycle|0.27947152|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5041
octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)|PWY-7388|||0.28414047|15.555555|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7388
L-lysine biosynthesis IV|LYSINE-AMINOAD-PWY|L-lysine Biosynthesis|LYSINE-SYN|0.28962603|0.8888889|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=LYSINE-AMINOAD-PWY
D-myo-inositol (1,4,5)-trisphosphate biosynthesis|PWY-6351|||0.29015258|1.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6351
fatty acid beta-oxidation II (peroxisome)|PWY-5136|||0.29118067|7.2|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5136
L-methionine degradation III|PWY-5082|L-methionine Degradation|METHIONINE-DEG|0.29333335|4.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5082
L-phenylalanine degradation I (aerobic)|PHENYLALANINE-DEG1-PWY|L-phenylalanine Degradation|PHENYLALANINE-DEG|0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PHENYLALANINE-DEG1-PWY
sphingomyelin metabolism|PWY3DJ-11281|||0.29333335|0.6666667|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3DJ-11281
oleate beta-oxidation (reductase-dependent, yeast)|PWY-7307|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7307
UDP-beta-L-rhamnose biosynthesis|PWY-3261|||0.29333335|0.33333334|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-3261
heme a biosynthesis|PWY-7856|||0.29333335|1.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7856
10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)|PWY-7338|||0.29333335|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7338
10-cis-heptadecenoyl-CoA degradation (yeast)|PWY-7337|||0.29333335|1.5|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7337
protein S-nitrosylation and denitrosylation|PWY-7798|||0.29333335|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7798
inosine 5'-phosphate degradation|PWY-5695|||0.29550713|2.25|1.0|COMPLETE-PATHWAY|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-5695
1D-myo-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)|PWY-6361|Phytate Biosynthesis|Phytate-Biosynthesis|0.29804033|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6361
sphingolipid biosynthesis (yeast)|SPHINGOLIPID-SYN-PWY|||0.30049047|4.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=SPHINGOLIPID-SYN-PWY
guanosine nucleotides degradation II|PWY-6606|Guanosine Nucleotides Degradation|Guanosine-Nucleotides-Degradation|0.31412023|3.25|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6606
penicillin G and penicillin V biosynthesis|PWY-7716|||0.31735414|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7716
chitin degradation II (Vibrio)|PWY-6902|Chitin Degradation|Chitin-Degradation|0.32502013|7.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6902
alpha-cyclopiazonate biosynthesis|PWY-7555|||0.33|0.75|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7555
chanoclavine I aldehyde biosynthesis|PWY-6493|||0.33|1.0|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6493
propanoyl-CoA degradation II|PWY-7574|||0.33913246|1.8|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7574
sphingosine and sphingosine-1-phosphate metabolism|PWY3DJ-11470|||0.35200003|0.6|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY3DJ-11470
[2Fe-2S] iron-sulfur cluster biosynthesis|PWY-7250|||0.35200003|0.4|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-7250
ergosterol biosynthesis I|PWY-6075|Ergosterol Biosynthesis|Ergosterol-Biosynthesis|0.35200003|1.2|1.0|PASSING-SCORE|http://biocyc.org/META/new-image?type=PATHWAY&object=PWY-6075
